codigo puntaje
5 75
5 53
5 64
5 42
5 53
5 43
5 34
5 63
5 50
5 25
5 54
5 69
5 65
5 62
5 72
5 40
5 72
5 69
5 21
5 21
5 63
5 67
5 74
5 63
5 75
5 36
5 54
5 84
5 58
5 64
5 50
5 64
5 77
5 26
5 43
5 76
5 66
5 75
5 70
5 59
5 34
5 76
5 73
5 64
5 78
5 49
5 68
5 100
5 72
5 35
5 53
5 67
5 54
5 67
5 70
5 68
5 62
5 41
5 45
5 67
5 71
5 78
5 34
5 44
5 28
5 70
5 67
5 65
5 75
5 71
5 60
8 78
8 41
8 71
8 57
8 67
8 69
8 45
8 56
8 70
8 57
8 66
8 67
8 51
8 68
8 57
8 61
8 64
8 67
8 49
8 30
8 77
8 77
8 65
8 71
8 65
8 44
8 52
8 68
8 64
8 67
8 69
8 77
8 46
8 72
8 65
8 66
8 60
11 55
11 77
11 71
11 66
11 66
11 82
11 72
11 100
11 68
11 76
11 59
11 77
11 35
11 82
11 56
11 67
11 55
11 75
11 71
11 48
11 73
11 72
11 78
11 67
11 76
11 65
11 57
11 71
11 27
11 78
11 51
11 60
11 18
11 40
11 57
11 73
11 67
11 32
11 60
11 83
11 38
11 80
11 62
11 67
11 55
11 40
11 71
11 42
11 81
11 64
11 62
11 75
11 45
11 40
11 65
11 60
11 55
11 80
11 53
11 80
11 64
11 73
11 72
11 69
11 56
11 68
11 73
11 57
11 65
11 23
11 65
11 70
11 39
11 70
11 76
11 32
11 58
11 42
11 60
11 73
11 57
11 55
11 58
11 45
11 73
11 27
11 62
11 64
11 60
11 64
11 59
11 71
11 33
11 74
11 72
11 55
11 54
11 74
11 61
11 63
11 64
11 67
11 65
11 49
11 71
11 52
11 30
11 63
11 68
11 50
11 47
11 69
11 72
11 66
11 71
11 28
11 73
11 34
11 67
11 42
11 68
11 82
11 23
11 36
11 74
11 73
11 50
11 59
11 56
11 73
11 37
11 75
11 78
11 65
11 67
11 59
11 60
11 69
11 32
11 42
11 70
11 61
11 71
11 69
11 44
11 100
11 46
11 55
11 67
11 33
11 33
11 67
11 84
11 56
11 61
11 67
11 48
11 34
11 65
11 32
11 36
11 60
11 72
11 43
11 100
11 72
11 71
11 48
11 42
11 81
11 63
11 63
11 63
11 67
11 54
11 61
11 72
11 71
11 70
11 73
11 80
11 71
11 66
11 64
11 69
11 54
11 43
11 72
11 63
11 69
11 76
11 49
11 74
11 58
11 79
11 73
11 29
11 56
11 44
11 66
11 63
11 65
11 70
11 66
11 61
11 45
11 62
11 75
11 70
